trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.01, 'e': 0.8480015200000075}",20,0,-53.634976442020964,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.8470015300000076}",25,0,-184.8513738042247,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
154,False,"{'a': 0.01, 'e': 0.8460015400000076}",20,0,-43.27025600232209,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.8450015500000077}",25,9,-104.23984949329915,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1
156,False,"{'a': 0.01, 'e': 0.8440015600000077}",30,0,-92.02060746477002,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.8430015700000077}",20,0,-84.19514697615536,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
158,False,"{'a': 0.01, 'e': 0.8420015800000078}",20,0,-64.87032998957172,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.01, 'e': 0.8410015900000078}",25,0,-167.99812221446192,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
160,False,"{'a': 0.01, 'e': 0.8400016000000079}",20,8,-22.175423883160335,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.839001610000008}",35,0,-58.46448517017649,"{0: 27, 1: 4, 2: 3, 3: 0, 4: 1}",0
162,False,"{'a': 0.01, 'e': 0.838001620000008}",20,0,-113.7931007595674,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
163,False,"{'a': 0.01, 'e': 0.837001630000008}",25,0,-52.574338791888955,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.8360016400000081}",20,0,-101.71210277951694,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.8350016500000081}",20,0,-155.92499513181824,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
166,False,"{'a': 0.01, 'e': 0.8340016600000082}",25,0,-94.64834722055173,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
167,False,"{'a': 0.01, 'e': 0.8330016700000082}",30,19,9.586564348902384,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.8320016800000083}",20,8,-23.445108120620088,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.8310016900000083}",20,3,-39.79787564469365,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.8300017000000084}",35,0,-154.83956893479055,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",0
171,False,"{'a': 0.01, 'e': 0.8290017100000084}",20,6,-157.5930424233032,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 3}",1
